Easting,Northing
493350,4874854
493356,4874838
493358,4874829
493360,4874822
493361,4874809
493361,4874794
493361,4874794
493355,4874793
493347,4874788
493341,4874783
493335,4874775
493335,4874770
493334,4874767
493334,4874760
493337,4874748
493344,4874738
493351,4874724
493360,4874686
493368,4874667
493376,4874650
493400,4874596
493401,4874593
493404,4874582
493405,4874580
493406,4874572
493407,4874563
493407,4874556
493407,4874476
493407,4874460
493410,4874455
493412,4874452
493413,4874448
493413,4874443
493411,4874437
493411,4874437
493416,4874430
493431,4874430
493435,4874426
493438,4874422
493440,4874407
493442,4874402
493444,4874397
493443,4874388
493446,4874366
493447,4874346
493448,4874300
493448,4874206
493448,4874206
493456,4874206
493469,4874206
493469,4874206
493477,4874205
493482,4874202
493488,4874195
493491,4874191
493503,4874173
493515,4874155
493535,4874121
493549,4874095
493574,4874041
493626,4873921
493659,4873845
493675,4873801
493700,4873728
493728,4873644
493736,4873620
493773,4873508
493778,4873493
493796,4873434
493829,4873315
493831,4873305
493906,4873021
493906,4873021
493897,4873021
493886,4873021
493870,4873022
493860,4873022
493804,4873026
493792,4873026
493788,4873026
493783,4873026
493775,4873026
493767,4873026
493760,4873025
493752,4873022
493742,4873019
493735,4873014
493729,4873011
493725,4873008
493721,4873004
493717,4873000
493715,4872999
493710,4872992
493706,4872988
493703,4872981
493699,4872975
493694,4872965
493691,4872943
493690,4872925
493689,4872908
493688,4872829
493687,4872803
493687,4872789
493686,4872762
493683,4872739
493680,4872723
493677,4872711
493673,4872697
493669,4872681
493664,4872667
493654,4872639
493648,4872620
493637,4872595
493634,4872588
493628,4872578
493624,4872572
493619,4872562
493610,4872552
493596,4872537
493588,4872530
493577,4872520
493569,4872513
493559,4872507
493535,4872491
493513,4872477
493497,4872466
493478,4872454
493458,4872439
493451,4872434
493445,4872427
493436,4872418
493428,4872409
493421,4872400
493417,4872394
493412,4872386
493405,4872374
493398,4872360
493391,4872344
493373,4872305
493369,4872296
493357,4872272
493344,4872242
493339,4872234
493332,4872217
493328,4872208
493323,4872198
493315,4872178
493311,4872169
493307,4872162
493301,4872151
493295,4872137
493292,4872126
493289,4872115
493287,4872105
493286,4872092
493285,4872081
493285,4872070
493286,4872060
493288,4872043
493290,4872033
493292,4872025
493298,4872004
493302,4871985
493303,4871968
493303,4871958
493302,4871950
493302,4871940
493300,4871931
493298,4871922
493297,4871915
493294,4871907
493293,4871902
493287,4871890
493282,4871880
493275,4871865
493259,4871834
493248,4871814
493241,4871802
493236,4871792
493232,4871783
493228,4871776
493223,4871766
493217,4871756
493211,4871744
493206,4871735
493195,4871718
493189,4871709
493175,4871686
493166,4871673
493158,4871661
493149,4871650
493142,4871640
493133,4871629
493124,4871618
493113,4871604
493099,4871590
493084,4871572
493069,4871558
493045,4871534
493029,4871520
493009,4871500
492986,4871479
492975,4871468
492965,4871459
492954,4871448
492945,4871438
492938,4871431
492931,4871423
492927,4871416
492918,4871405
492915,4871399
492906,4871385
492900,4871374
492894,4871361
492888,4871348
492881,4871329
492878,4871318
492875,4871308
492873,4871298
492870,4871284
492869,4871276
492868,4871261
492868,4871236
492868,4871228
492869,4871214
492871,4871196
492875,4871177
492877,4871165
492881,4871154
492888,4871136
492895,4871118
492899,4871110
492905,4871099
492921,4871077
492929,4871065
492946,4871041
492962,4871022
492969,4871014
492976,4871006
492985,4870997
492990,4870992
493000,4870984
493009,4870977
493017,4870970
493027,4870966
493034,4870962
493041,4870959
493054,4870954
493067,4870950
493082,4870949
493105,4870946
493126,4870943
493145,4870940
493166,4870935
493191,4870927
493205,4870919
493221,4870909
493230,4870901
493242,4870892
493252,4870882
493259,4870876
493265,4870866
493269,4870861
493272,4870856
493278,4870843
493287,4870821
493296,4870801
493308,4870773
493321,4870742
493329,4870724
493333,4870714
493337,4870704
493341,4870693
493344,4870684
493345,4870671
493347,4870657
493348,4870638
493348,4870620
493349,4870608
493350,4870598
493351,4870590
493352,4870586
493353,4870581
493356,4870572
493359,4870566
493362,4870560
493364,4870557
493368,4870550
493372,4870544
493375,4870541
493379,4870537
493382,4870534
