Easting,Northing
493225,4877426
493209,4877428
493197,4877428
493172,4877428
493172,4877428
493154,4877425
493080,4877423
493031,4877424
493013,4877418
492963,4877418
492941,4877418
492941,4877418
492941,4877543
492940,4877667
492941,4877788
492940,4877800
492943,4877908
492943,4877915
492943,4877915
492943,4877915
492942,4878024
492942,4878030
492943,4878153
492942,4878274
492943,4878332
492942,4878337
492941,4878344
492940,4878349
492937,4878355
492937,4878355
492961,4878376
492969,4878377
492977,4878377
492983,4878377
492986,4878381
492988,4878384
492998,4878413
492998,4878413
492979,4878422
492968,4878429
492948,4878439
492924,4878447
492901,4878456
492888,4878463
492874,4878472
492864,4878480
492859,4878483
492851,4878486
492847,4878488
492843,4878488
492836,4878486
492829,4878484
492825,4878482
492820,4878479
492816,4878476
492812,4878475
492808,4878476
492803,4878478
492800,4878479
492796,4878479
492791,4878482
492787,4878485
492780,4878489
492776,4878493
492771,4878498
492767,4878503
492762,4878511
492759,4878518
492756,4878523
492748,4878528
492743,4878530
492724,4878538
492689,4878554
492672,4878563
492660,4878571
492642,4878581
492629,4878589
492607,4878599
492586,4878612
492579,4878617
492570,4878620
492563,4878622
492550,4878626
492541,4878629
492530,4878632
492523,4878633
492511,4878634
492499,4878633
492489,4878633
492479,4878632
492469,4878632
492461,4878632
492456,4878633
492454,4878636
492450,4878638
492445,4878641
492441,4878645
492436,4878647
492432,4878649
492427,4878651
492419,4878655
492410,4878662
492408,4878665
492408,4878665
492393,4878676
492388,4878679
492382,4878682
492357,4878692
492338,4878701
492327,4878707
492314,4878712
492309,4878716
492301,4878721
492294,4878727
492284,4878731
492278,4878734
492268,4878737
492259,4878743
492250,4878749
492243,4878754
492235,4878756
492219,4878759
492206,4878763
492171,4878773
492147,4878785
492134,4878794
492108,4878810
492087,4878823
492068,4878830
492060,4878834
492055,4878834
492048,4878834
492041,4878834
492035,4878834
492029,4878836
492021,4878841
492012,4878845
491996,4878856
491989,4878859
491977,4878864
491970,4878864
491966,4878865
491957,4878872
491945,4878883
491937,4878888
491921,4878897
491909,4878902
491906,4878903
491898,4878907
491897,4878907
491884,4878914
491864,4878918
491853,4878920
491831,4878920
491824,4878922
491808,4878926
491793,4878933
491777,4878942
491758,4878951
491750,4878957
491744,4878961
491737,4878963
491731,4878964
491726,4878964
491720,4878965
491711,4878968
491702,4878971
491689,4878974
491681,4878979
491674,4878982
491670,4878986
491661,4878991
491656,4878993
491648,4878995
491642,4878997
491628,4878998
491624,4878999
491617,4879001
491601,4879008
491596,4879008
491584,4879009
491576,4879009
491566,4879008
491556,4879006
491539,4879001
491504,4878996
491499,4878996
491491,4878994
491483,4878994
491475,4878995
491469,4878996
491457,4878997
491451,4878997
491434,4878997
491421,4878996
491411,4878995
491399,4878992
491386,4878990
491371,4878990
491354,4878991
491343,4878992
491328,4878996
491321,4878998
491314,4879000
491303,4879005
