"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @alafairburke: Hope to see some Oregonians at the @EugenePublicLib tomorrow.  What snowstorm?! https://t.co/TFZYIBlCyH",FALSE,0,NA,2019-02-09 23:58:59,FALSE,NA,"1094385200287469568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EllenLV",2,TRUE,FALSE,NA,NA
"Hope to see some Oregonians at the @EugenePublicLib tomorrow.  What snowstorm?! https://t.co/TFZYIBlCyH",FALSE,25,NA,2019-02-09 23:58:02,FALSE,NA,"1094384964001386496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alafairburke",2,FALSE,FALSE,NA,NA
"New story: Snowstorm buries Northwest, with more on the way https://t.co/2fGa7nsYYF #wral",FALSE,1,NA,2019-02-09 23:54:05,FALSE,NA,"1094383967749324800",NA,"<a href=""http://www.wral.com"" rel=""nofollow"">WRAL Feed</a>","WRAL",0,FALSE,FALSE,NA,NA
"RT @AMYCHAMP: In Yosemite National Park, as many as 50 housing structures near Half Dome Village were damaged by trees toppled during a sno…",FALSE,0,NA,2019-02-09 23:50:06,FALSE,NA,"1094382965117706241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Susana_Tupper",2,TRUE,FALSE,NA,NA
"RT @SamKantrow: Another complicated storm starting as snow on Tuesday. It looks like a changeover will happen though. Can't we just get a ""…",FALSE,0,NA,2019-02-09 23:47:42,FALSE,NA,"1094382361884676098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JerriBarney",4,TRUE,FALSE,NA,NA
"RT @GRevmgbrown4: Snowstorm buries Northwest, with more on the way https://t.co/KSNk2XULe4",FALSE,0,NA,2019-02-09 23:45:32,FALSE,NA,"1094381817157877760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GRevmgbrown4",1,TRUE,FALSE,NA,NA
"Snowstorm buries US Northwest, with more on the way... https://t.co/fdru9DbeOi",FALSE,0,NA,2019-02-09 23:44:48,FALSE,NA,"1094381631668973573",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","dispatcheditor",1,FALSE,FALSE,NA,NA
"Snowstorm buries US Northwest, with more on the way... https://t.co/hNRayyFCkI",FALSE,0,NA,2019-02-09 23:44:39,FALSE,NA,"1094381595937644544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amiller78",0,FALSE,FALSE,NA,NA
"@EmilyCompagno Aren't you happy that you returned home just in time for a major snowstorm to occur.",FALSE,0,"EmilyCompagno",2019-02-09 23:44:18,FALSE,NA,"1094381508629090306","1687120508","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rjc1960_richard",0,FALSE,FALSE,NA,NA
"RT @SamKantrow: Another complicated storm starting as snow on Tuesday. It looks like a changeover will happen though. Can't we just get a ""…",FALSE,0,NA,2019-02-09 23:44:14,FALSE,NA,"1094381492086685697",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WxMandingo",4,TRUE,FALSE,NA,NA
"Snowstorm buries Northwest, with more on the way https://t.co/KSNk2XULe4",FALSE,0,NA,2019-02-09 23:42:05,FALSE,NA,"1094380948962054145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GRevmgbrown4",1,FALSE,FALSE,NA,NA
"Another complicated storm starting as snow on Tuesday. It looks like a changeover will happen though. Can't we just… https://t.co/RMd5i2zDTl",FALSE,42,NA,2019-02-09 23:40:50,TRUE,NA,"1094380634590642178",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SamKantrow",4,FALSE,FALSE,NA,NA
"Snowstorm buries Northwest, with more on the way https://t.co/ZjBxvjI7Tp https://t.co/lgeW33Pnvr",FALSE,1,NA,2019-02-09 23:38:04,FALSE,NA,"1094379937639755776",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","wkycweather",0,FALSE,FALSE,NA,NA
"Snowstorm buries Northwest, with more on the way 
-https://t.co/Tizfn5nowt
- The Western Journal
WJ Wire 
Hershel O… https://t.co/4q9LmJcBM2",FALSE,1,NA,2019-02-09 23:36:19,TRUE,NA,"1094379498072621056",NA,"<a href=""http://fullmagazine.us/"" rel=""nofollow"">FullMagazine</a>","FullMagazineUS",0,FALSE,FALSE,NA,NA
"OK BUT THERES ANOTHER FRIGGIN SNOWSTORM COMING ?????",FALSE,6,NA,2019-02-09 23:36:17,FALSE,NA,"1094379488002088961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlexiHalket",0,FALSE,FALSE,NA,NA
"A potentially crippling snowstorm is headed for Seattle https://t.co/Ky6AilLG2Q",FALSE,0,NA,2019-02-09 23:34:08,FALSE,NA,"1094378946328780800",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","silvermouse1955",0,FALSE,FALSE,NA,NA
"RT @accuweather: Ever wonder why it seems so quiet and serene after a #snowstorm? https://t.co/6UauPNa513",FALSE,0,NA,2019-02-09 23:33:50,FALSE,NA,"1094378870797754368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TweetoBala",23,TRUE,FALSE,NA,NA
"Snowstorm buries Northwest, with more on the way https://t.co/NyChHVjS4l",FALSE,0,NA,2019-02-09 23:33:02,FALSE,NA,"1094378669382995970",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PaulBrightly",0,FALSE,FALSE,NA,NA
"Snowstorm buries Northwest, with more on the way https://t.co/jp4yf88Dlm https://t.co/rbyJALrYnw",FALSE,0,NA,2019-02-09 23:28:33,FALSE,NA,"1094377542629261312",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","LawngIsland",0,FALSE,FALSE,NA,NA
