"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"These are just a few of the groups on campus supporting women scientists, &amp; only a *sliver* of the sciences our wom… https://t.co/5tBZY0jRY1",FALSE,4,"uoregon",2019-02-12 00:38:25,TRUE,"1095105084550082560","1095119900647993344","40940457","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"Learn more about Cascadia Subduction Zone earthquakes and what role deep fluids play at the Feb. 14 pub talk by the… https://t.co/vIbvF5JZRs",FALSE,5,NA,2019-02-12 00:35:08,TRUE,NA,"1095119073141239809",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",0,FALSE,FALSE,NA,NA
"The Committee on the Advancement of Women Chemists (COACh) is a program started by the UO's Geraldine Richmond, a M… https://t.co/ndyog1fAox",FALSE,10,"uoregon",2019-02-11 23:39:32,TRUE,"1095099450228232192","1095105084550082560","40940457","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",2,FALSE,FALSE,NA,NA
"The Women in Graduate Science (@uowgs) group on campus is one of the largest graduate student women's groups in the… https://t.co/SjFvkB5qN8",FALSE,6,"uoregon",2019-02-11 23:17:09,TRUE,"1095097835014414336","1095099450228232192","40940457","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",2,FALSE,FALSE,NA,NA
"The Science Program to Inspire Creativity and Excellence, also known as SPICE, creates an environment where middle… https://t.co/Z0ZMzuXwMj",FALSE,6,"uoregon",2019-02-11 23:10:44,TRUE,"1095096387161677825","1095097835014414336","40940457","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",1,FALSE,FALSE,NA,NA
"On #WomenScienceDay, we'd like to thank all of the hardworking women scientists we are fortunate to have on campus.… https://t.co/SbF7G9rwBO",FALSE,35,NA,2019-02-11 23:04:59,TRUE,NA,"1095096387161677825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",9,FALSE,FALSE,NA,NA
"@AiErbe03 Congrats!!! <U+0001F44D><U+0001F3FD><U+0001F44D><U+0001F3FD><U+0001F44D><U+0001F3FD><U+0001F986> #GoDucks",FALSE,0,"AiErbe03",2019-02-11 17:43:35,FALSE,"1094033822029557760","1095015504350040064","3790482314","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"@azjd Thanks, Jeff!",FALSE,1,"azjd",2019-02-11 17:30:57,FALSE,"1094781514120720384","1095012326380466176","12739092","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"@SamRosenberg18 @GoDucks Nice!!!! Congats and good luck in Tempe! #GoDucks",FALSE,0,"SamRosenberg18",2019-02-11 17:08:16,FALSE,"1094791557046185985","1095006617572061185","38948486","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"ICYMI: @UOsojc professor's personal experience with homelessness now guides her research and an urge to build commu… https://t.co/1YSdujrRDz",FALSE,22,NA,2019-02-11 14:30:57,TRUE,NA,"1094967026798465024",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"A reminder that if you haven't signed up to receive our alerts via texts and emails about weather-related campus cl… https://t.co/nGc1E23wOc",FALSE,15,NA,2019-02-11 04:50:06,TRUE,NA,"1094820850329665536",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",2,FALSE,FALSE,NA,NA
"The @UOsojc recently launched a new Master of Advertising and Brand Responsibility degree. And it's the first gradu… https://t.co/9F9BE4XTsK",FALSE,33,NA,2019-02-11 01:10:07,TRUE,NA,"1094765490977812482",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",6,FALSE,FALSE,NA,NA
".@UOregon_History professor Leslie Alexander shares the history of Elizabeth Jennings, who paved the way for integr… https://t.co/Ov5s4I0SbI",FALSE,21,NA,2019-02-10 20:30:21,TRUE,NA,"1094695085021806592",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",2,FALSE,FALSE,NA,NA
