"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Tomorrow: Join us for our 3rd Tea Talk speaker of winter term!
----------------------------------------------------… https://t.co/p8dGYy6HKp",FALSE,0,NA,2019-02-06 17:30:36,TRUE,NA,"1093200298020126730",NA,"<a href=""https://tweet.photo"" rel=""nofollow"">TWEET.PHOTO</a>","uogeog",0,FALSE,FALSE,NA,NA
"Happy Monday Geographers!

<U+0001F4F8> https://t.co/7W8lMjWsSL via https://t.co/gpkFuhqxCF https://t.co/7972oIAvAN",TRUE,15,NA,2019-02-04 17:00:39,FALSE,NA,"1092467983874777088",NA,"<a href=""https://tweet.photo"" rel=""nofollow"">TWEET.PHOTO</a>","uogeog",0,FALSE,FALSE,NA,NA
"Quack Chats pub talk Wednesday, Feb. 6 at 6 p.m. featuring @Jim_Meacham “Mapping the Wildness of Yellowstone,” at t… https://t.co/rDay6uEHZL",FALSE,15,NA,2019-02-01 21:49:36,TRUE,NA,"1091453540738904065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",3,FALSE,FALSE,NA,NA
"Condon appreciation post <U+0001F64C>

#condon #uo #geography #tw @ Condon Hall https://t.co/4hBdZucwZt",FALSE,3,NA,2019-01-31 17:47:04,FALSE,NA,"1091030113368432640",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","uogeog",1,FALSE,FALSE,NA,NA
"Do you know a faculty member who goes above and beyond? Nominations for awards are open! <U+0001F3C5> https://t.co/xi7dFPfJrk",FALSE,2,NA,2019-01-29 16:15:29,FALSE,NA,"1090282290641420288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"You might recognize the author of the map highlighted on the poster. This is @rudyomri's winning entry for the 2016… https://t.co/pfTLX5PKuy",FALSE,1,"uogeog",2019-01-25 01:45:00,TRUE,"1088613199815921664","1088613676616019968","3062098405","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"The Bill Loy Award for Excellence in Cartography is now open for submissions! This award is for an outstanding map… https://t.co/hVOQw47eaS",FALSE,12,NA,2019-01-25 01:43:06,TRUE,NA,"1088613199815921664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",5,FALSE,FALSE,NA,NA
"Students, have you made a map for one of your classes? Enter it in the CaGIS Map Design Competition! Cash and softw… https://t.co/GLOF9BjdZ4",FALSE,3,NA,2019-01-24 21:28:22,TRUE,NA,"1088549093566103552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Featured in @aroundO: InfoGraphics Atlas Captures Astounding Migrations https://t.co/mJs0H7AA41",FALSE,11,NA,2019-01-14 23:11:30,FALSE,NA,"1084951168210489344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",3,FALSE,FALSE,NA,NA
"Check out this piece in @SmithsonianMag about UO and Wyoming researchers tracking wildlife migrations! Look for map… https://t.co/8BWrplpXAT",FALSE,9,NA,2019-01-09 19:57:47,TRUE,NA,"1083090477333635072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"@UOSciDivDean @UO_BioBE @uoregon <U+0001F637>",FALSE,0,"UOSciDivDean",2018-12-13 02:41:09,FALSE,"1073003973844467712","1073045126384017409","1026527789803950080","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"""Here's a photo of the bridge across the river at our study site. It's the only bridge, but the river nearly bisect… https://t.co/7sShcfcKE4",FALSE,7,NA,2018-12-11 17:32:00,TRUE,NA,"1072544542719643651",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","uogeog",1,FALSE,FALSE,NA,NA
"Roses are red, 
Violets are blue.
Finals are over,
How did you do? <U+0001F4DA>

#finals #winterbreak <U+2744><U+2603><U+FE0F>… https://t.co/TqRZwqP6QN",FALSE,2,NA,2018-12-07 23:31:51,TRUE,NA,"1071185551020224512",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","uogeog",0,FALSE,FALSE,NA,NA
"Did you know? @uogeog has released our 2018 Newsletter, which provides updates on faculty and students, in addition… https://t.co/KFVsVHlzpp",FALSE,3,NA,2018-12-04 22:14:56,TRUE,NA,"1070079031180091392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Today's @NatGeoMaps map of the day was inspired by @wyo_migrations and @uogeog InfoGraphics Lab's atlas ""Wild Migra… https://t.co/fisLV0cusC",FALSE,12,NA,2018-12-04 17:32:49,TRUE,NA,"1070008032300421122",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Tonight! https://t.co/w654f1uKpw",FALSE,5,NA,2018-11-28 01:35:40,FALSE,NA,"1067592829998776320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Can you dance your Ph.D.? https://t.co/ocf7b8tNM3",FALSE,0,NA,2018-11-19 17:50:04,FALSE,NA,"1064576557803462656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Congratulations to one of our undergrads Harley Emery for winning the UO Elevator Pitch Competition for her situati… https://t.co/h39oNxuSaF",FALSE,12,NA,2018-11-16 21:55:43,TRUE,NA,"1063551212736327680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uogeog",3,FALSE,FALSE,NA,NA
"Today! https://t.co/ZTbG3ckAP5",FALSE,1,NA,2018-11-15 21:20:16,FALSE,NA,"1063179901631512576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",2,FALSE,FALSE,NA,NA
"Have a listen to @oregongeography's own @Jim_Meacham on Jefferson Public Radio for this month's edition of Curious:… https://t.co/zODqT4ERQJ",FALSE,9,NA,2018-11-13 00:29:54,TRUE,NA,"1062140461496684544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
